,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
1215,2020-04-06 16:50:00,10.0,7.0,10.0,3.0,10.0,,8.0
1323,2020-04-06 16:50:00,0.0,-0.0,0.0,0.0,3.0,0.0,0.6
14,2020-04-06 16:50:00,8.0,1.0,10.0,9.0,8.0,,7.2
1309,2020-04-06 16:50:00,1.0,0.0,-0.0,-0.0,1.0,1.0,0.4
1430,2020-04-06 16:50:00,1.0,0.0,-0.0,1.0,-0.0,0.0,0.4
1284,2020-04-06 16:50:00,1.0,0.0,-0.0,-0.0,0.0,0.0,0.2
1358,2020-04-06 16:50:00,0.0,1.0,1.0,0.0,1.0,-0.0,0.6
1395,2020-04-06 16:50:00,0.0,0.0,1.0,-0.0,1.0,1.0,0.4
1310,2020-04-06 16:55:00,1.0,-0.0,-0.0,0.0,1.0,1.0,0.4
1472,2020-04-06 16:55:00,0.0,0.0,1.0,1.0,2.0,1.0,0.8
1436,2020-04-06 17:00:00,1.0,0.0,0.0,0.0,0.0,1.0,0.2
1147,2020-04-06 17:00:00,4.0,2.0,2.0,2.0,2.0,,2.4
1341,2020-04-06 17:00:00,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.4
1327,2020-04-06 17:00:00,-0.0,0.0,0.0,1.0,0.0,-0.0,0.2
1453,2020-04-06 17:00:00,-0.0,1.0,0.0,0.0,1.0,1.0,0.4
1445,2020-04-06 17:00:00,-0.0,0.0,2.0,0.0,1.0,0.0,0.6
1443,2020-04-06 17:05:00,1.0,1.0,0.0,-0.0,1.0,0.0,0.6
423,2020-04-06 17:05:00,2.0,5.0,2.0,6.0,10.0,,5.0
169,2020-04-06 17:10:00,4.0,10.0,4.0,0.0,7.0,1.0,5.0
1355,2020-04-06 17:10:00,1.0,0.0,1.0,-0.0,0.0,0.0,0.4
1432,2020-04-06 17:10:00,1.0,1.0,1.0,0.0,2.0,0.0,1.0
1336,2020-04-06 17:10:00,0.0,0.0,-0.0,0.0,1.0,0.0,0.2
1376,2020-04-06 17:10:00,0.0,-0.0,0.0,0.0,2.0,1.0,0.4
